word,sent
abandonar,-2
abandoned,-2
abandonarse,-2
abducted,-2
secuestro,-2
secuestros,-2
aborrecer,-3
abhorred,-3
aborrecible,-3
aborrecer,-3
habilidades,2
capacidad,2
a bordo,1
ausente,-1
ausentes,-1
absolver,2
absolved,2
desaprobar,2
absorción,2
absorbed,1
abuso,-3
abused,-3
abusos,-3
abusive,-3
aceptar,1
accepted,1
aceptación,1
aceptación,1
accidente,-2
accidental,-2
accidentalmente,-2
accidentes,-2
lograr,2
accomplished,2
logra,2
acusación,-2
acusaciones,-2
acusar,-2
accused,-2
acusaciones,-2
accusing,-2
dolor,-2
realizable,1
dolor,-2
absolver,2
absorción,2
acquitted,2
acquitting,2
mordaz,-3
active,1
adequate,1
admirar,3
admired,3
admirando,3
admirativo,3
admitir,-1
admitir,-1
admitted,-1
amonestar,-2
admonished,-2
adoptar,1
adopta,1
adorable,3
adorar,3
adored,3
itreen,3
advanced,1
ventaja,2
ventajas,2
aventura,2
aventuras,2
adventurous,2
affected,-1
afecto,3
affectionate,3
afflicted,-1
affronted,-1
afraid,-2
agravar,-2
aggravated,-2
agravantes,-2
agravante,-2
agresión,-2
agresiones,-2
aggressive,-2
espantado,-2
agog,2
agonizar,-3
agonised,-3
agonización,-3
agonizante,-3
agonizar,-3
agonized,-3
agonizar,-3
agonizante,-3
aceptar,1
agradable,2
agreed,1
acuerdo,1
de acuerdo,1
alarma,-2
alarmed,-2
alarmista,-2
alarmistas,-2
Pobre de mí,-1
alerta,-1
alienación,-2
alive,1
allergic,-2
permitir,1
alone,-2
asombro,2
amazed,2
amazes,2
amazing,4
ambitious,2
ambivalente,-1
entretener,3
amused,3
diversión,3
diversiones,3
enojo,-3
angustia,-3
angry,-3
angustia,-3
anguished,-3
animosidad,-2
enojarse,-2
molestia,-2
enojado,-2
irritante,-2
molesto,-2
antagonista,-2
anti,-1
anticipación,1
ansiedad,-2
anxious,-2
apathetic,-3
apatía,-3
aphit,-3
apocalyptic,-2
disculparse,-1
disculpado,-1
disculparse,-1
Disculpándose,-1
disculparse,-1
disculpado,-1
disculparse,-1
disculpado,-1
disculpa,-1
appalled,-2
appalling,-2
apaciguar,2
apaciguado,2
arrendamiento,2
apacible,2
aplaudir,2
applauded,2
applauding,2
applauds,2
aplausos,2
agradecer,2
appreciated,2
aprecia,2
aprecio,2
apreciación,2
apprehensive,-2
aprobación,2
approved,2
aprobación,2
ardiente,1
arrestar,-2
arrested,-3
arrestos,-2
arrogante,-2
es una pena,-2
ashamed,-2
culo,-4
asesinato,-3
asesinato,-3
activo,2
activos,2
assfucking,-4
asshole,-4
astonished,2
asombrar,3
astounded,3
astounding,3
pasmosamente,3
astounds,3
ataque,-1
attacked,-1
attacking,-1
ataques,-1
atraer,1
attracted,1
atractivo,2
atracción,2
atracciones,2
atrae,1
audaz,3
autoridad,1
evitar,-1
averted,-1
evasión,-1
avid,2
evitar,-1
avoided,-1
evita,-1
esperar,-1
awaited,-1
espera,-1
otorgar,3
awarded,3
premio,3
impresionante,4
horrible,-3
awkward,-2
hacha,-1
axed,-1
backed,1
apoyo,2
espalda,1
bad,-3
impresionante,-3
gravemente,-3
rescate,-2
embaucar,-2
bamboozled,-2
bamboozles,-2
prohibición,-2
desterrar,-1
bankrupt,-3
bankster,-3
banned,-2
negociar,2
barrera,-2
bastard,-5
bastards,-5
batalla,-1
batallas,-1
beaten,-2
beatific,3
golpeando,-1
bellezas,3
beautiful,3
hermosamente,3
embellecer,3
empequeñecer,-2
belittled,-2
beloved,3
beneficio,2
beneficios,2
benefitted,2
beneficio,2
privar,-2
bereaved,-2
duelo,-2
duelo,-2
mejor,3
traicionar,-3
traición,-3
betrayed,-3
traicionamiento,-3
traidados,-3
mejor,2
inclinación,-1
biased,-2
grande,1
perra,-5
perras,-5
bitter,-2
amargamente,-2
extraño,-2
paja,-2
culpa,-2
blamed,-2
culpable,-2
culpable,-2
bendecir,2
bendiciones,2
bendición,3
blind,-1
dicha,3
feliz,3
alegre,2
bloquear,-1
éxito de taquilla,3
blocked,-1
bloqueo,-1
bloques,-1
bloody,-3
blurry,-2
boastful,-2
bold,2
valientemente,2
bomba,-1
aumentar,1
boosted,1
impulso,1
impulso,1
aburrir,-2
bored,-2
boring,-3
molestar,-2
bothered,-2
pomar,-2
bothersome,-2
boicotear,-2
boycotted,-2
boicote,-2
boicots,-2
lavado del cerebro,-3
brave,2
descubrimiento,3
breathtaking,5
soborno,-3
brillante,1
más brillante,2
brillo,1
brillante,4
enérgico,2
en bancarrota,-1
broken,-1
brooding,-2
bullied,-2
mierda,-4
bully,-2
acoso,-2
bummer,-2
boyante,2
carga,-2
burdened,-2
carga,-2
cargas,-2
calma,2
calmed,2
calmante,2
calma,2
No puedo soportar,-3
Cancelar,-1
cancelled,-1
cancelling,-1
canciones,-1
cáncer,-1
capaz,1
captivated,3
cuidado,2
carefree,1
careful,2
con cuidado,2
careless,-2
cuidados,2
cobrar,-2
víctima,-2
catástrofe,-3
catastrophic,-4
cautious,-1
celebrar,3
celebrated,3
celebrar,3
celebrando,3
censurar,-2
censored,-2
censores,-2
certain,1
disgusto,-2
chagrined,-2
desafío,-1
oportunidad,2
posibilidades,2
caos,-2
chaotic,-2
charged,-3
cargos,-2
encanto,3
charming,3
sin encanto,-3
castigar,-3
chastised,-3
castigar,-3
castigador,-3
engañar,-3
cheated,-3
cheater,-3
cheaters,-3
trampas,-3
alegría,2
cheered,2
alegre,2
aplausos,2
triste,-2
salud,2
alegre,3
apreciar,2
cherished,2
apreciar,2
cherishing,2
elegante,2
infantil,-2
espeluznante,-1
ahogo,-2
choked,-2
chokes,-2
asfixia,-2
aclarar,2
claridad,2
choque,-2
de buen tono,3
clean,2
cleaner,2
clear,1
cleared,1
clearly,1
clears,1
clever,2
clouded,-1
clueless,-2
polla,-5
cocksucker,-5
cacatapas,-5
cocky,-2
coerced,-2
collapse,-2
collapsed,-2
collapses,-2
colapso,-2
collide,-1
collides,-1
colliding,-1
collision,-2
collisions,-2
colluding,-3
combat,-1
combate,-1
comedia,1
comodidad,2
comfortable,2
comforting,2
comforts,2
commend,2
commended,2
commit,1
commitment,2
commits,1
committed,1
committing,1
compassionate,2
compelled,1
competent,2
competitive,2
complacent,-2
complain,-2
complained,-2
complains,-2
comprehensive,2
conciliate,2
conciliated,2
conciliates,2
conciliating,2
condemn,-2
condemnation,-2
condemned,-2
condemns,-2
confidence,2
confident,2
conflict,-2
conflicting,-2
conflictive,-2
conflicts,-2
confuse,-2
confused,-2
confusing,-2
congrats,2
congratulate,2
congratulation,2
congratulations,2
consent,2
consents,2
consolable,2
conspiracy,-3
constrained,-2
contagion,-2
contagions,-2
contagious,-1
contempt,-2
contemptuous,-2
contemptuously,-2
contend,-1
contender,-1
contending,-1
contentious,-2
contestable,-2
controversial,-2
controversially,-2
convince,1
convinced,1
convinces,1
convivial,2
cool,1
cool stuff,3
cornered,-2
corpse,-1
costly,-2
courage,2
courageous,2
courteous,2
courtesy,2
cover-up,-3
coward,-2
cowardly,-2
coziness,2
cramp,-1
crap,-3
crash,-2
crazier,-2
craziest,-2
crazy,-2
creative,2
crestfallen,-2
cried,-2
cries,-2
crime,-3
criminal,-3
criminals,-3
crisis,-3
critic,-2
criticism,-2
criticize,-2
criticized,-2
criticizes,-2
criticizing,-2
critics,-2
cruel,-3
cruelty,-3
crush,-1
crushed,-2
crushes,-1
crushing,-1
cry,-1
crying,-2
cunt,-5
curious,1
curse,-1
cut,-1
cute,2
cuts,-1
cutting,-1
cynic,-2
cynical,-2
cynicism,-2
damage,-3
damages,-3
damn,-4
damned,-4
damnit,-4
danger,-2
daredevil,2
daring,2
darkest,-2
darkness,-1
dauntless,2
dead,-3
deadlock,-2
deafening,-1
dear,2
dearly,3
death,-2
debonair,2
deuda,-2
engaño,-3
deceitful,-3
deceive,-3
deceived,-3
deceives,-3
deceiving,-3
deception,-3
decisive,1
dedicated,2
defeated,-2
