word,sent
abandonar,-2
abandoned,-2
abandonar,-2
abducted,-2
secuestro,-2
secuestros,-2
aborrecer,-3
abhorred,-3
Aborriente,-3
aborrecer,-3
capacidad,2
capacidad,2
a bordo,1
ausente,-1
ausente,-1
absolver,2
absolved,2
absolución,2
absorción,2
absorbed,1
abuso,-3
abused,-3
abuso,-3
abusive,-3
ACEPTAR,1
aceptar,1
aceptación,1
aceptación,1
ACCIDENTE,-2
accidental,-2
accidentalmente,-2
Accidentes,-2
LOGRAR,2
accomplished,2
Logra,2
acusación,-2
acusaciones,-2
acusación,-2
accused,-2
acusaciones,-2
accusing,-2
dolor,-2
Realizable,1
acor,-2
absolver,2
absorción,2
acquitted,2
acquitting,2
mordaz,-3
active,1
adaptar,1
admirar,3
admired,3
admirar,3
admirativo,3
admitir,-1
Admitir,-1
admitted,-1
amonestar,-2
admonished,-2
adoptar,1
adopta,1
adorable,3
adorar,3
adored,3
ador,3
advanced,1
ventaja,2
Ventajas,2
aventura,2
aventuras,2
adventurous,2
affected,-1
AFECTO,3
Afejar,3
afflicted,-1
affronted,-1
Aphraid,-2
agravar,-2
aggravated,-2
agravantes,-2
agravante,-2
agresión,-2
agresiones,-2
aggressive,-2
espantado,-2
agog,2
agonis,-3
agonised,-3
agonis,-3
agonismo,-3
agonizar,-3
agonized,-3
agonizar,-3
agonizante,-3
agregar,1
agitar,2
aggre,1
agregar,1
agregar,1
alarma,-2
alarma,-2
alarmista,-2
alarmistas,-2
ala,-1
alerta,-1
alienación,-2
alive,1
allergic,-2
permitir,1
alone,-2
ASOMBRO,2
amazed,2
amazes,2
amazing,4
Abeto,2
ambivalente,-1
entretener,3
amused,3
diversión,3
diversiones,3
enojo,-3
Angustia,-3
angry,-3
angustia,-3
anguished,-3
Animosidad,-2
enojarse,-2
molestia,-2
enojado,-2
irritante,-2
enojarse,-2
antagonista,-2
anti,-1
anticipación,1
ansiedad,-2
anxious,-2
apathetic,-3
apatía,-3
aphit,-3
apocalyptic,-2
disculparse,-1
disculpado,-1
disculparse,-1
disculpado,-1
disculparse,-1
disculpado,-1
disculparse,-1
disculpado,-1
disculpa,-1
appalled,-2
appalling,-2
apaciguar,2
aparato,2
arrendamiento,2
apacible,2
aplaudir,2
applauded,2
aplaudir,2
applauds,2
aplausos,2
agradecer,2
appreciated,2
Aprecia,2
Aprecio,2
APRECIACIÓN,2
apprehensive,-2
aprobación,2
approved,2
aprobación,2
ardiente,1
arrestar,-2
arrested,-3
arrestos,-2
arrogante,-2
es una pena,-2
ashamed,-2
culo,-4
Asesinato,-3
asesinato,-3
activo,2
activos,2
mirar,-4
asshole,-4
astonished,2
preguntando,3
preguntó,3
astounding,3
Pasmosamente,3
pidiendo,3
Ataque,-1
attacked,-1
attacking,-1
ataques,-1
Atraer,1
attracted,1
Atractivo,2
atracción,2
Atracciones,2
Atrae,1
Audaz,3
Autoridad,1
evitar,-1
averted,-1
evasión,-1
avid,2
evitar,-1
evitar,-1
evita,-1
Esperar,-1
awaited,-1
Espera,-1
otorgar,3
awarded,3
premio,3
Impresionante,4
Horrible,-3
awkward,-2
hacha,-1
axed,-1
backed,1
apoyo,2
espalda,1
bad,-3
Impresionante,-3
gravemente,-3
rescate,-2
embaucar,-2
bamboozled,-2
bamboozles,-2
bandera,-2
Desterrar,-1
bankrupp,-3
bankster,-3
banned,-2
negociar,2
barrera,-2
bastard,-5
bastards,-5
batalla,-1
Batallas,-1
beaten,-2
beatific,3
golpeando,-1
bellezas,3
beautiful,3
Hermosamente,3
Embellecer,3
Dar,-2
belittled,-2
beloved,3
Beneficio,2
beneficios,2
Beneficio,2
beneficio,2
Privar,-2
bereaved,-2
Bereves,-2
Bereber,-2
mejor,3
Traicionar,-3
Traición,-3
betrayed,-3
Traicionamiento,-3
Traidados,-3
Mejor,2
inclinación,-1
biased,-2
Grande,1
perra,-5
perras,-5
bitter,-2
Amargamente,-2
extraño,-2
Paja,-2
culpa,-2
blamed,-2
culpable,-2
culpable,-2
Bendecir,2
Bendiciones,2
autobús,3
blind,-1
dicha,3
feliz,3
alegre,2
bloquear,-1
éxito de taquilla,3
bloquear,-1
bloqueo,-1
bloquear,-1
bloody,-3
blurry,-2
bien,-2
bold,2
Valientemente,2
bomba,-1
Aumentar,1
boosted,1
impulso,1
Impulso,1
aburrir,-2
bored,-2
boring,-3
molestar,-2
bothered,-2
pomar,-2
bothersome,-2
Boicotear,-2
boycotted,-2
Boicote,-2
Boicots,-2
lavado del cerebro,-3
brave,2
Descubrimiento,3
ruptura,5
soborno,-3
brillante,1
Más brillante,2
brillo,1
brillante,4
enérgico,2
En bancarrota,-1
broken,-1
brooding,-2
bullied,-2
mierda,-4
bully,-2
acoso,-2
bummer,-2
Boyante,2
Carga,-2
burdened,-2
carga,-2
Cargas,-2
calm,2
calmed,2
calma,2
Calma,2
No puedo soportar,-3
Cancelar,-1
cancelled,-1
cancelling,-1
Canciones,-1
cáncer,-1
capaz,1
captivated,3
cuidado,2
carefree,1
careful,2
Con cuidado,2
careless,-2
carros,2
cobrar,-2
víctima,-2
catástrofe,-3
catastrophic,-4
cautious,-1
celebrar,3
celebrated,3
celebrar,3
celebracion,3
censurar,-2
censored,-2
censurar,-2
certain,1
Disgusto,-2
chagrined,-2
desafío,-1
oportunidad,2
posibilidades,2
caos,-2
chaotic,-2
dibujos animados,-3
dibujos animados,-2
encanto,3
charming,3
sin encanto,-3
castigar,-3
chastised,-3
fosa,-3
de cabotaje,-3
engañar,-3
cheated,-3
cheater,-3
cheaters,-3
trampas,-3
alegría,2
cheered,2
alegre,2
aplausos,2
triste,-2
salud,2
alegre,3
Apreciar,2
cherished,2
muestras,2
libra esterlina,2
elegante,2
infantil,-2
espeluznante,-1
ahogo,-2
choked,-2
chokes,-2
asfixia,-2
aclarar,2
Claridad,2
Choque,-2
de buen tono,3
clean,2
cleaner,2
clear,1
cleared,1
Claramente,1
Desplegable,1
Inteligente,2
clouded,-1
clueless,-2
polla,-5
cacajero,-5
Cacatapas,-5
cocky,-2
coerced,-2
colapsar,-2
collapsed,-2
colapso,-2
colapso,-2
chocar,-1
Chocar,-1
colisionar,-1
COLISIÓN,-2
Colegios,-2
colluding,-3
combate,-1
Combate,-1
comedia,1
Comodidad,2
comfortable,2
comforting,2
Comodidad,2
Elogiar,2
commended,2
Comprometerse,1
Compromiso,2
Comitis,1
committed,1
committing,1
compassionate,2
Comluido,1
competente,2
competitive,2
complacent,-2
Quejarse,-2
Quejado,-2
Queja,-2
Integral,2
concilia,2
conciliated,2
conciliats,2
conciliación,2
condenar,-2
Condenación,-2
condemned,-2
condena,-2
confianza,2
confident,2
conflicto,-2
conflicting,-2
conflictive,-2
conflicto,-2
confundir,-2
confused,-2
confusing,-2
felicitaciones,2
felicitar,2
felicitación,2
Felicidades,2
consentir,2
consentir,2
consolable,2
conspiración,-3
constrained,-2
contagio,-2
contagios,-2
contagious,-1
Desprecio,-2
Conteptuoso,-2
con contemplo,-2
contender,-1
contender,-1
contador,-1
contentious,-2
contactable,-2
controversial,-2
controversially,-2
convicción,1
convinced,1
convicciones,1
convivial,2
cool,1
Cosas interesantes,3
cornered,-2
cadáver,-1
costly,-2
courage,2
valiente,2
Cortés,2
Salón,2
encubrir,-3
cobarde,-2
cobardemente,-2
cocinar,2
CALAMBRE,-1
tonterías,-3
chocar,-2
Más loco,-2
Más loco,-2
crazy,-2
creative,2
crestfallen,-2
cried,-2
Llantos,-2
delito,-3
delincuente,-3
delincuente,-3
Crisis,-3
critic,-2
Crítica,-2
Criticar,-2
criticized,-2
criticar,-2
criticizing,-2
critics,-2
cruel,-3
crueldad,-3
aplastar,-1
aplastada,-2
estorbo,-1
aplastante,-1
llorar,-1
llanto,-2
coño,-5
curious,1
maldición,-1
cortar,-1
cute,2
cortes,-1
corte,-1
cynic,-2
cynical,-2
Cinismo,-2
daño,-3
Daños y perjuicios,-3
MALDICIÓN,-4
damned,-4
